,Name,Search_name,Exclude_entries
355,Cote Brasserie,cote brasserie,
356,T4 Bubble Tea,t4 bubble tea,
357,Biff's Vegan Burgers and Wingz,biff's vegan burgers and wingz,
358,Big John's,big john's,
359,Master Chef,master chef,
360,Souvlaki & Skewers,souvlaki & skewers,
361,Bengal Brasserie,bengal brasserie,
362,Mr Pizza,mr pizza,
363,Mr Chippy,mr chippy,
364,Bull & Bird,bull & bird,
365,Chipotle Mexican Grill,chipotle mexican grill,
366,Cinnamon Lounge,cinnamon lounge,
367,Holy Cow,holy cow,
368,Pure,pure,
369,Kebabish Original,kebabish original,
370,Golden Grill,golden grill,
371,Chopstix Noodle Bar,chopstix noodle bar,
372,Salads Here,salads here,
373,Esquires Coffee,esquires coffee,
374,China Red,china red,
375,Happy Garden,happy garden,
376,Doughnut Time,doughnut time,
377,Cha Cha Chai,cha cha chai,
378,Ben's Cookies,ben's cookies,
379,Pizza Land,pizza land,
380,Tonkotsu,tonkotsu,
381,Melts by Café Rouge,melts by café rouge,
382,Southern Fried Chicken,southern fried chicken,
383,Big Bite,big bite,
384,Chicken Shed,chicken shed,
385,Red Chilli,red chilli,
386,Balti Hut,balti hut,
387,Clox,clox,
388,Pizza Town,pizza town,
389,Tasty African Restaurant,tasty african restaurant,
390,Mexigogo,mexigogo,
391,China City,china city,
392,Pleesecakes - cheesecake,pleesecakes - cheesecake,
393,Biju Bubble Tea,biju bubble tea,
394,Paprika,paprika,
395,Fat Burgers,fat burgers,
396,Oddbins,oddbins,
397,Chilli Hut,chilli hut,
398,Indian Spice,indian spice,
399,Carluccio's - Breakfast,carluccio's - breakfast,
400,Bao Now,bao now,
401,Baskin Robbins,baskin robbins,
402,Chick'N'Bun,chick'n'bun,
403,Curry Cottage,curry cottage,
404,Fat Twins,fat twins,
405,Chip Stop,chip stop,
406,Pizza Cottage,pizza cottage,
407,Awesome Wings,awesome wings,
408,Boots,boots,
409,Kebab Centre,kebab centre,
410,Spice Kitchen,spice kitchen,
411,Tokia Sushi,tokia sushi,
412,Churchill's Fish & Chips,churchill's fish & chips,
413,Devonly Pies,devonly pies,
414,Saucy Buns - Saucy Smashed Burgers by Taster,saucy buns - saucy smashed burgers by taster,
415,Tasty Pizza,tasty pizza,
416,CUPP Bubble Tea,cupp bubble tea,
417,Crispy Cod,crispy cod,
418,Wok & Go,wok & go,
