,Name,Search_name,Exclude_entries
4194,Oasis Restaurant,oasis restaurant,
4195,Jinnah,jinnah,
4196,Poppingo bubble tea,poppingo bubble tea,
4197,Poppins Cafe & Restaurant,poppins cafe & restaurant,
4198,Jj Express,jj express,
4199,Oasis Cafe,oasis cafe,
4200,Burgermania,burgermania,
4201,Burgeritzza,burgeritzza,
4202,Burger Zone,burger zone,
4203,Poptata,poptata,
4204,Burgerato,burgerato,
4205,Greggs - Wakefield,greggs - wakefield,
4206,BurgerLocks by LCH,burgerlocks by lch,
4207,The Lobster Pot,the lobster pot,
4208,OTTO Pizza,otto pizza,
4209,OTO CBD Sleep Store,oto cbd sleep store,
4210,Subway - Bedford,subway - bedford,
4211,Joe's Coffee Co,joe's coffee co,
4212,Joe's Fish Bar,joe's fish bar,
4213,Burgers LDN,burgers ldn,
4214,The Liquor Tank,the liquor tank,
4215,Ocean Breeze,ocean breeze,
4216,The Lime Leaf,the lime leaf,
4217,Burrito Town,burrito town,
4218,Jhakaas,jhakaas,
4219,Ji The Chicken Shop 好朋友炸鸡,ji the chicken shop 好朋友炸鸡,
4220,Pop Pizza,pop pizza,
4221,Popadom,popadom,
4222,The Larder,the larder,
4223,Ocean Spice,ocean spice,
4224,Jikoni,jikoni,
4225,Ocean Palace,ocean palace,
4226,Popeye's Peri Peri,popeye's peri peri,
4227,Ocean Fresh at Steve's,ocean fresh at steve's,
4228,The Lemon Tree,the lemon tree,
4229,Jimmy's,jimmy's,
4230,Popeyes Pizzeria,popeyes pizzeria,
4231,Jimmy's Cafe,jimmy's cafe,
4232,Burgerum,burgerum,
4233,The Library,the library,
4234,Popin,popin,
4235,Ocean City,ocean city,
4236,Ocean Chippy,ocean chippy,
4237,Ocean Catch Fishmongers,ocean catch fishmongers,
4238,The Lounge,the lounge,
4239,Burger World,burger world,
4240,Nuxie's Kitchen,nuxie's kitchen,
4241,Jon Doe,jon doe,
4242,The Marylebone Kitchen,the marylebone kitchen,
4243,Jollof City,jollof city,
4244,The Masked Bakers,the masked bakers,
4245,The Master Chef - NEW,the master chef - new,
4246,The Mayflower Village,the mayflower village,
4247,O! Pizza,o! pizza,
4248,Posh Pizza,posh pizza,
4249,Jolpai,jolpai,
4250,Jolsa Indian Takeaway,jolsa indian takeaway,
4251,O Yes,o yes,
4252,Jonaki Tandoori,jonaki tandoori,
4253,Burger Wingz,burger wingz,
4254,Posillipo,posillipo,
4255,The Mexican,the mexican,
4256,Joro Vegan Eatery,joro vegan eatery,
4257,Jorvik Spice,jorvik spice,
4258,O Farol,o farol,
4259,Potato Hut,potato hut,
4260,The Midyeci,the midyeci,
4261,Potato Oven,potato oven,
4262,Joy Cafe,joy cafe,
4263,Joy Kitchen,joy kitchen,
4264,O-Tokuda,o-tokuda,
4265,O-Yes Rominos,o-yes rominos,
4266,Joker Takeaway,joker takeaway,
4267,Burger Land,burger land,
4268,ORIGINAL GRILL KABABISH,original grill kababish,
4269,OREE,oree,
4270,Burger Station,burger station,
4271,OPA,opa,
4272,Portland Wine Company,portland wine company,
4273,Johnny Custard,johnny custard,
4274,Burger Singh,burger singh,
4275,Burger Shurger,burger shurger,
4276,Burger Queen,burger queen,
4277,The Mandarin,the mandarin,
4278,Burger Parade,burger parade,
4279,Burger Palace,burger palace,
4280,Burger Now,burger now,
